"type","unit_name","unit_symbol","definition_value","canonical_unit","quantity_name","quantity_symbol","general_quantity"
"BaseQuantity","metre","m","1","metre","length","L",""
"BaseQuantity","kilogram","kg","1","kilogram","mass","M",""
"BaseQuantity","second","s","1","second","duration","T",""
"BaseQuantity","ampere","A","1","ampere","electric current","I",""
"BaseQuantity","kelvin","K","1","kelvin","thermodynamic temperature","Θ",""
"BaseQuantity","mole","mol","1","mole","amount of substance","N",""
"BaseQuantity","candela","cd","1","candela","luminous intensity","J",""
"BaseQuantity","one","1","1","one","quantity of dimension one","1",""
"SpecialQuantity","radian","rad","1","m/m","angular measure","α",""
"SpecialQuantity","steradian","sr","1","m^2/m^2","solid angular measure","Ω",""
"SpecialQuantity","hertz","Hz","1","s^-1","frequency","f",""
"SpecialQuantity","newton","N","1","kg*m/s^2","force","F",""
"SpecialQuantity","pascal","Pa","1","N/m^2","pressure","p",""
"SpecialQuantity","pascal","Pa","1","N/m^2","stress","σ",""
"SpecialQuantity","joule","J","1","N*m","energy","E",""
"SpecialQuantity","watt","W","1","J/s","power","P",""
"SpecialQuantity","coulomb","C","1","A*s","electric charge","Q",""
"SpecialQuantity","volt","V","1","W/A","electric potential difference","V_(ab)",""
"SpecialQuantity","farad","F","1","C/V","capacitance","C",""
"SpecialQuantity","ohm","Ω","1","V/A","electric resistance","R",""
"SpecialQuantity","siemens","S","1","Ω^-1","electric conductance","G",""
"SpecialQuantity","weber","Wb","1","V*s","magnetic flux","Φ",""
"SpecialQuantity","tesla","T","1","Wb/m^2","magnetic flux density","vec(B)",""
"SpecialQuantity","henry","H","1","Wb/A","inductance","L",""
"SpecialQuantity","lumen","lm","1","cd*sr","luminous flux","Φ_v",""
"SpecialQuantity","lux","lx","1","lm/m^2","illuminance","E_v",""
"SpecialQuantity","becquerel","Bq","1","s^-1","activity referred to a radionuclide","A",""
"SpecialQuantity","gray","Gy","1","J/kg","absorbed dose","D",""
"SpecialQuantity","sievert","Sv","1","J/kg","dose equivalent","H",""
"SpecialQuantity","katal","kat","1","mol/s","catalytic activity","k",""
"SpecialQuantity","octave","oct","1","1","logarithmic frequency range","G",""
"SpecialQuantity","decade","dec","1","1","logarithmic frequency range","G",""
"SpecialQuantity","decibel","dB","1","1","level","L",""
"SpecialQuantity","erlang","E","1","1","traffic intensity","A",""
"SpecialQuantity","bit","bit","1","1","storage capacity","M",""
"SpecialQuantity","baud","Bd","1","s^-1","modulation rate","r_m",""
"SpecialQuantity","shannon","Sh","1","1","information content","I(x)",""
"SpecialQuantity","hartley","Hart","1","1","information content","I(x)",""
"SpecialQuantity","natural unit of information","nat","1","1","information content","I(x)",""
"RecognizedQuantity","degree","°","pi/180","rad","angular measure","α",""
"RecognizedQuantity","degree Celsius","°C","1.0","K","thermodynamic temperature","Θ",""
"RecognizedQuantity","litre","L","1.0e-3","m^3","volume","V",""
"RecognizedQuantity","minute","min","60.0","s","duration","t",""
"RecognizedQuantity","hour","h","60.0","min","duration","t",""
"RecognizedQuantity","day","d","24.0","h","duration","t",""
"RecognizedQuantity","volt ampere reactive","var","1.0","V*A","reactive power","Q",""
"RecognizedQuantity","electronvolt","eV","1.602176487e-19","J","energy","E",""
"RecognizedQuantity","dalton","Da","1.66053906660e-27","kg","rest mass","m(X)","mass"
"RecognizedQuantity","atomic mass unit","u","1.0","Da","rest mass","m(X)","mass"
"RecognizedQuantity","square metre","m²","1.0","m^2","area","a",""
"RecognizedQuantity","barn","b","1.0e-28","m²","cross section","σ","area"
"RecognizedQuantity","ångström","Å","1.0e-10","m","length","l",""
"RecognizedQuantity","astronomical unit","ua","149597870700","m","length","l",""
"RecognizedQuantity","byte","B","8","bit","storage capacity","M",""
"RecognizedQuantity","octet","o","8","bit","storage capacity","M",""
